video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=eLAfPYf8S_E&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,California Drought: Where are the winter storms? And tracking El Niño,20K,1 month,"California Drought: Where are the winter storms? And tracking El Niño It has been a slow start to the wet season, but that doesn't ...",2024-01-30 02:47:58.958145
/watch?v=ToH8sAHssnA&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,California Drought: Climate change and the summer of 2023,3.8K,4 months,California Drought: Climate change and the summer of 2023 From heatwaves to hurricanes to poor air quality and stressed power ...,2024-01-30 02:47:58.961448
/watch?v=9lpYVi2OkwQ&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@TheB1M,The B1M,The $1BN Megaproject to Save California,766K,1 month,This video contains paid promotion for Bentley Systems. Full story here ...,2024-01-30 02:47:58.963982
/watch?v=Rj7Hj4EtMQw&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@Foxla,FOX 11 Los Angeles,Is the California drought over?,11K,10 months,"With the recent rainfall across California, is the drought over? Subscribe to FOX 11 Los Angeles: ...",2024-01-30 02:47:58.966689
/watch?v=rHWHuP91c7Y&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@nytimes,The New York Times,"California's Extreme Drought, Explained | The New York Times",133K,9 years,The state is experiencing the worst drought in its history. Find out just how bad the situation is getting and what it means for you.,2024-01-30 02:47:58.969224
/watch?v=IkpKZULTcN0&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,California Drought: Hilary removes remaining drought; wildfire season arrives,7.9K,5 months,California Drought: Hilary removes remaining drought; wildfire season arrives Tropical Storm Hilary wiped out the remaining ...,2024-01-30 02:47:58.971641
/watch?v=eQClSPJp0wk&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,"California Drought: New water year, updated reservoir levels and a 'headscratcher' winter ahead",30K,3 months,"California Drought: New water year, updated reservoir levels and a 'headscratcher' winter ahead The rain and snow California ...",2024-01-30 02:47:58.975267
/watch?v=guo4gXeOVOA&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@BBCNews,BBC News,California ‘crippling drought’ leads to strict water restrictions – BBC News,495K,1 year,Strict water restrictions come into force for millions of people in California as the US west coast continues to experience a crippling ...,2024-01-30 02:47:58.977763
/watch?v=W2i_jaY3JdQ&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@cbssacramento,CBS Sacramento,Dramatic photos show how storms filled California reservoirs,855K,9 months,Water levels fell so low in key reservoirs during the depth of California's drought that boat docks sat on dry land and cars drove ...,2024-01-30 02:47:58.980154
/watch?v=pxOuTK7Vzqo&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@cbs8sandiego,CBS 8 San Diego,Did the months of recent rain end California’s drought? Experts say it’s complicated,3.9K,9 months,"Over the last four months, storm after storm pounded the California coast – leading to dramatic changes in our water supply and ...",2024-01-30 02:47:58.982500
/watch?v=vEAFzgsRQs8&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NBCNews,NBC News,Climate Change And Drought Forcing Hard Choices Across California,114K,1 year,"Severe drought in California is creating major challenges for farmers in the state. Joe Del Bosque, who has operated his farm ...",2024-01-30 02:47:58.985045
/shorts/ysjIq9AT4Hc,/@News6WKMG,WKMG News 6 ClickOrlando,Watch the 'extreme drought' category in California disappear,55K,1 year,The latest update from the United States Department of Agriculture shows significant improvements to the longstanding and ...,2024-01-30 02:47:58.987307
/watch?v=jhk6Cxs8uQI&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@KMPHFox26,KMPH FOX26 NEWS,California Drought: Sierra snowpack has yet to hit 50% of normal,691,2 weeks,"After last year's wetter-than-normal weather year, Meteorologists now worry this year might bring us back into the drought. MORE: ...",2024-01-30 02:47:58.989942
/watch?v=jh90Tm_TH1Y&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@VICENews,VICE News,Flooding Fields in California’s Drought,257K,8 years,"Faced with a severe drought, California enacted mandatory water conservation rules in early April for the first time in the state's ...",2024-01-30 02:47:58.993572
/watch?v=2dYfbTIOiTg&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,Drought Levels: Where does California's drought stand now,5.1K,9 months,ABC10 meteorologist Carley Gomez goes over the latest updates to the Drought Monitor and shows us where Pardee Lake ...,2024-01-30 02:47:58.996313
/watch?v=Hdpr7m45sT8&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@weatherboxstudios,weatherbox,Drought to Deluge: Investigating California's Extreme Winter of 2022-23,222K,2 months,"In Fall of 2022, California was experiencing its worst drought in history. While the forecasts in October called for the exceptional ...",2024-01-30 02:47:59.000267
/watch?v=GEd8h79mUSs&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@stanford,Stanford,Stanford scientists explain the state of California's drought,34K,9 years,"Associate Professor Noah Diffenbaugh and graduate student Daniel Swain talk about the ""ridiculously resilient ridge"" of high ...",2024-01-30 02:47:59.003858
/watch?v=m7_WJfbwO1I&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@TimeBombTV,Time Bomb,California's Drought Crisis Takes a U-Turn - Must-See Update!,917K,5 months,"Welcome to timeBomb! In this video, we take a look at the incredible transformation of California's drought crisis. How much did ...",2024-01-30 02:47:59.007751
/watch?v=jJyJrbxgQm4&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,"California Drought: Water levels update, warming nights, and Delta's importance",13K,6 months,"California Drought: Water levels update, warming nights, and Delta's importance ABC10 meteorologist Brenden Mincheff looks at ...",2024-01-30 02:47:59.011401
/watch?v=f5fJJUJMitY&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,Water Wasted | What happened to all the water from California's historic winter?,202K,6 months,The state had a historic winter and the ABC10 Weather Team is investigating where the water is going and if we're wasting it ...,2024-01-30 02:48:07.493123
/watch?v=3ypBB-yKE1o&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@CBNnewsonline,CBN News,Tropical Storm Hilary Ends California's Drought; Biden to Face Angry Victims on Maui,32K,5 months,"The drought in Southern California is over. Hilary, the first tropical storm to hit the region in 84 years, brought some areas more ...",2024-01-30 02:48:07.496815
/watch?v=o0Ng3AMlQT8&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@fox40,FOX40 News,New images show the impact of recent rain on the California drought,863K,11 months,Lake Oroville is the second-largest reservoir in California and currently has more water than its average for this time of year.,2024-01-30 02:48:07.500103
/watch?v=dizccjHozrs&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@abc7news,ABC7 News Bay Area,CA city ends its drought emergency; has '4 years of water supply' after storms,256K,10 months,#news #weather #drought #california #water #watersupply #storm #rain #abc7news.,2024-01-30 02:48:07.506507
/watch?v=gamvni1Rr6I&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@KTVUFox2,KTVU FOX 2 San Francisco,California is 100% drought free,2.1K,2 months,"California is 100% drought free for the first time in over three years, according to the California Drought Monitor. Subscribe to ...",2024-01-30 02:48:07.510532
/watch?v=v0i2HOL6Rwo&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@InsideEdition,Inside Edition,California Drought Leaves One Town Looking Like a 21st Century Dustbowl,5.7M,8 years,East Porterville is a town in California that has completely run out of water. It is ground zero in the drought and has become a 21st ...,2024-01-30 02:48:07.513848
/watch?v=AC81ZK4ToWE&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,"California Drought: Full reservoirs, stubborn snowpack and the critical role of urban forestry",44K,8 months,"California Drought: Full reservoirs, stubborn snowpack and the critical role of urban forestry Shasta and Oroville are approaching ...",2024-01-30 02:48:07.518093
/watch?v=zNbT8ROPmK4&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@novapbs,NOVA PBS Official,How California's Droughts Lead to Other Disasters,100K,2 years,"Each year, California and the Southwest break new records for droughts and high temperatures, leading to heat waves, wildfires, ...",2024-01-30 02:48:07.521332
/watch?v=HdVnr14Hdg4&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@kcalnews,KCAL News,Tropical Storm Hilary's impact on California's water supply,25K,5 months,"Tropical Storm Hilary swept over the Golden State on Sunday, leaving a trail of heavy rain and flooding in its wake. So, with all that ...",2024-01-30 02:48:07.524187
/shorts/fxbwkhHGq6o,/@News6WKMG,WKMG News 6 ClickOrlando,15 FEET of snow! Historic storm helps improve California drought.,15K,10 months,A historic snowstorm buried California with feet of snow in the higher elevations. Yosemite National Park reported parts of the park ...,2024-01-30 02:48:07.527426
/watch?v=K_Iyo-nx7bo&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@zentouro,zentouro,Understanding California's Drought,1.6K,8 years,California is loosing the equivalent of 6 million olympic swimming pools of water each year. What are we doing about it? How to ...,2024-01-30 02:48:07.530302
/watch?v=8E-WJ2sUEGA&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,"California Drought: No Sierra snow, slow onset of monsoon season, Top 5 hottest July",22K,5 months,"California Drought: No Sierra snow, slow onset of monsoon season, Top 5 hottest July July was brutal for California and the ...",2024-01-30 02:48:07.534449
/watch?v=lEFq5hXwiiY&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC7,ABC7,Parts of California now drought-free after recent storms,18K,10 months,The latest drought report shows the recent back-to-back storms to drench California have improved drought conditions across the ...,2024-01-30 02:48:07.537702
/watch?v=Y5fEZvaIMlU&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NBCNews,NBC News,Drought Causes California Farmers To Struggle With Crops,45K,1 year,"California has seen its driest year in over 125 years as 97% of the state remains in severe drought, especially in the central valley ...",2024-01-30 02:48:07.540792
/watch?v=-Ie0kOraOck&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,California Drought: How desalination enters the conversation,1.7K,1 year,"California Drought: While rain is on the horizon, the drought is exposing water supply issues and how diverse that portfolio is.",2024-01-30 02:48:07.543781
/watch?v=sYf7WX_HhlQ&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@KTVUFox2,KTVU FOX 2 San Francisco,California drought: half of state no longer in drought conditions,85K,10 months,"Heavy snow and rain this winter have moved slightly more than half of California out of drought conditions, according to new data.",2024-01-30 02:48:07.546926
/watch?v=DhANY-5TxiY&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,California Drought: The last of triple-digit heat? And climate change and the warmer fall,7.2K,4 months,California Drought: The last of triple-digit heat? And climate change and the warmer fall The month of September is one of ...,2024-01-30 02:48:07.550877
/watch?v=I7z3TNZe4U4&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC7,ABC7,"With all this rain, could California's drought soon be over?",57K,10 months,Is California still in a drought? The historic string of storms drenching the state have many wondering if California's drought could ...,2024-01-30 02:48:07.553965
/watch?v=a9_o47MrTHU&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@WION,WION,"As California’s drought worsens, emergency declared in 41 of 58 counties | US | Lake Oroville | WION",45K,2 years,"Lake Oroville, the second-largest reservoir in California that provides drinking water to more than 25 million people is at less than ...",2024-01-30 02:48:07.557055
/watch?v=CKdC62uiWjI&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NBCNews,NBC News,Consequences Of Severe Drought And Climate Change Ripple Across California,49K,1 year,Water officials believe the past three years could end up as the driest in California's history. State reservoir levels are alarmingly ...,2024-01-30 02:48:07.560135
/watch?v=-2LWNGxi340&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@CBSEveningNews,CBS Evening News,"""Ridiculously resilient ridge"" to blame for California drought",1.4K,8 years,"In contrast to the deep freeze out East, there is record warmth in the West. Temperatures reached into the mid 50s in parts of ...",2024-01-30 02:48:17.554597
/watch?v=8VgH-ahOE-k&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@GMA,Good Morning America,"A look at Tulare Lake, California’s newest re-formed lake l GMA",69K,7 months,"Tulare Lake, which was drained centuries ago, has re-formed due to snow melt from winter storms and is disrupting local farming.",2024-01-30 02:48:17.556544
/watch?v=PuIFGKzc6OY&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,California Drought Update: 92% of state in no or low level drought due to 2023 storms,17K,10 months,California Drought Update: About 92% of the state in no or low level drought due to persistent storm activity moving into California ...,2024-01-30 02:48:17.558354
/watch?v=pe_gn4hFviI&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC7Chicago,ABC 7 Chicago,Is California still in a drought as recent storms fill reservoirs?,5.8K,10 months,The historic string of storms drenching the state have many wondering whether California's drought could soon be over.,2024-01-30 02:48:17.560028
/watch?v=0x6FiFs82ik&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@CBSMornings,CBS Mornings,Potential solutions to California's drought emergency,54K,8 years,California Gov. Jerry Brown is imposing the state's first mandatory limit on water use. It targets businesses and consumers in cities ...,2024-01-30 02:48:17.561638
/watch?v=-cp7zi7f03Y&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@Foxweather,FOX Weather,Atmospheric Rivers Pulling California Out Of Drought,4.1K,1 year,"Good news for California: The state is out of extreme and exceptional drought. FOX Weather meteorologists Britta Merwin, Amy ...",2024-01-30 02:48:17.563307
/watch?v=ZqyMe8kuFoA&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@cbs8sandiego,CBS 8 San Diego,How San Diego County reservoirs levels look amid California drought,19K,2 years,Reservoirs throughout the west are showing signs of the drought that really turned severe over the winter. There may be records ...,2024-01-30 02:48:17.564935
/watch?v=4jUWbvY1ol8&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@SkyNews,Sky News,US: California swings from severe drought to extreme storms,7.8K,9 months,"Sky News' Martha Kelner has explained what is causing the bizarre weather in California, where locals described ""heartbreaking"" ...",2024-01-30 02:48:17.566546
