video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=aiEBEGKQp_I&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@UNEP,UN Environment Programme,How microplastics affect your health,130K,4 years,51 Trillion particles of microplastics float in our oceans. Yet there is very little science of how this affects our health. This video ...,2024-01-30 02:08:26.457878
/watch?v=_bNySyEobfY&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@Medcram,MedCram - Medical Lectures Explained CLEARLY,"Microplastics in Our Food and Body: Cutting Boards, Microwaves, More",76K,4 months,"(This video was recorded on September 17th, 2023) Roger Seheult, MD is the co-founder and lead professor at ...",2024-01-30 02:08:26.465571
/watch?v=7vSMcb9X3kU&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@cbs8sandiego,CBS 8 San Diego,Microplastics and their impact on the human body,16K,1 year,"Now we can use it to test more parts of the body, our tissue, our brain. Now we are able to definitely say that they stay in our body,” ...",2024-01-30 02:08:26.470549
/watch?v=vocvz6N6faI&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@GreshamCollege,Gresham College,"Microplastics, Public Health Myth or Menace - Ian Mudway",6.9K,4 months,Microplastics - tiny plastic particles less than 5mm long - were first identified in the ocean but are now known to be ubiquitous ...,2024-01-30 02:08:26.480666
/watch?v=jX2TNS8a1lQ&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@NASEM_Health,NASEM Health and Medicine Division,Session 3: Impact of Microplastics on Human Health,5.9K,2 years,DEVELOPMENT OF A Screening TOOL FOR NANO/MICROPLASTIC HUMAN HEALTH HAZARD STUDIES ...,2024-01-30 02:08:26.483147
/watch?v=1PlK9oGQvzA&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@DWDocumentary,DW Documentary,How dangerous are microplastics? | DW Documentary,132K,1 year,"Microplastics have only recently become an issue outside the scientific world. A pioneering researcher in this field, Christian ...",2024-01-30 02:08:26.487766
/watch?v=vi--wEwvYkA&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@PBSNewsHour,PBS NewsHour,Why you may be eating and drinking more microplastics than you thought,82K,2 weeks,"From takeout containers to water bottles, plastic seems unavoidable in our daily lives. Now, two new studies have found that we're ...",2024-01-30 02:08:26.492302
/watch?v=PNh-f7NpA-A&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@NatGeo,National Geographic,How to Cleanse Your Beauty Regime of Microplastic | National Geographic,25K,5 years,"About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure.",2024-01-30 02:08:26.502325
/watch?v=v8u-zkXNdFQ&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@EFSA_EU,EFSAchannel,What are microplastics and nanoplastics?,2.7K,2 years,"Subtitles are available in English, French, German, Italian and Spanish. Click on the “turn on captions” button in the lower right ...",2024-01-30 02:08:33.943190
/watch?v=VyeV1f2sSwo&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@5news,5NEWS,New research shows new information about microplastics in water bottles,50K,2 weeks,Researchers at Columbia University found that on average a liter of water can have half a quarter of a million particles of plastics.,2024-01-30 02:08:33.945534
/watch?v=HPG73eyU-NE&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@globeandmail,The Globe and Mail,Searching for microplastics within the human body,27K,3 years,"Plastic debris is everywhere in nature, and the harm it causes is impossible to ignore. But it's less clear what ingesting plastics is ...",2024-01-30 02:08:33.948015
/watch?v=tjhzI_Pc2jk&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@SiimLand,Siim Land,"How to Detox Microplastics From Your Body (BPA, Metals, Pesticides, Xenoestrogens etc)",19K,1 year,Disclaimer I do not own any of the video clips used in this video. The legal rights belong to the legal copyright holders of said ...,2024-01-30 02:08:33.950582
/watch?v=nxEQkVPBJjQ&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@D2E,Down To Earth,Microplastics detected in human blood for the very first time,41K,1 year,"Microplastic pollution has been detected in human blood for the first time. The study, published in the journal Environment ...",2024-01-30 02:08:33.953058
