video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=5hghT1W33cY&pp=ygUJd2lsZGZpcmVz,/@NatGeo,National Geographic,Wildfires 101 | National Geographic,930K,6 years,"About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure.",2024-01-30 03:17:44.398557
/shorts/533PajOMDhc,/@BloombergQuicktake,Bloomberg Quicktake,Canada Wildfires Lead to Air-Quality Alerts in Northeastern US,686K,7 months,"More than 400 active fires were burning across Canada, prompting thousands to evacuate their homes. Smoke from hundreds of ...",2024-01-30 03:17:44.402414
/watch?v=Yfa1b_wxRHs&pp=ygUJd2lsZGZpcmVz,/@NGScience,Next Generation Science,What are Wildfires?,21K,2 years,wildfire #bushfire #ngscience #weather #extremeweather All about wildfires and their impact on nature and people. This video is ...,2024-01-30 03:17:44.404713
/watch?v=gN-T6NDWQ1g&pp=ygUJd2lsZGZpcmVz,/@wsj,The Wall Street Journal,The Science of Wildfires: Why They're Getting Worse | WSJ,256K,3 years,Global satellite data indicate wildfires are becoming bigger and more intense. WSJ talks with NASA's Doug Morton to understand ...,2024-01-30 03:17:44.407494
/watch?v=N-DmOjcenq4&pp=ygUJd2lsZGZpcmVz,/@NBCNews,NBC News,Maui wildfires now deadliest in modern U.S. history,2.5M,5 months,The wildfires that broke out on the island of Maui are confirmed to be the deadliest in the United States in more than 100 years.,2024-01-30 03:17:44.410185
/watch?v=bUfwUnin9DE&pp=ygUJd2lsZGZpcmVz,/@markets,Bloomberg Television,Raging Wildfires Burn Across Canada Sending Smoke Down to the US,1.1M,7 months,More than 400 wildfires are still burning in Canada. Government officials say approximately 3.3 million hectares (8.2 million acres) ...,2024-01-30 03:17:53.626198
/watch?v=bOzd9F9e1T8&pp=ygUJd2lsZGZpcmVz,/@ABCNews,ABC News,Washington wildfires burn homes and force thousands to flee | GMA,97K,5 months,"A state of emergency was declared in Washington state, where one person is confirmed dead, more than 200 structures are ...",2024-01-30 03:17:53.632785
/watch?v=fh3TEciJ03k&pp=ygUJd2lsZGZpcmVz,/@ABCNews,ABC News,Wildfires rage out of control in Texas | GMA,34K,4 months,Urgent evacuations are underway for residents in eastern Texas as the cause of fires is currently unknown. SUBSCRIBE to ABC ...,2024-01-30 03:17:53.641027
/watch?v=0o6ezu_h6iE&pp=ygUJd2lsZGZpcmVz,/@Vox,Vox,How decades of stopping forest fires made them worse,1M,2 years,Decades of stopping forest fires have made them worse. Can we undo the damage? Subscribe and turn on notifications so you ...,2024-01-30 03:17:53.645988
/watch?v=ZGOdSODg-xg&pp=ygUJd2lsZGZpcmVz,/@CNBCtelevision,CNBC Television,Southern California wildfire prompts evacuation order for thousands,19K,2 months,"A wind-fueled wildfire ripped through Southern California on Monday. The fire spread over 500 acres, destroying buildings in a ...",2024-01-30 03:17:53.654288
/watch?v=0BhLf6scQXU&pp=ygUJd2lsZGZpcmVz,/@CBSEveningNews,CBS Evening News,Dozens of wildfires burn across Louisiana,46K,5 months,"Firefighters in Louisiana are stretched thin, battling several dozen wildfires, including the Tiger Island Fire in Beauregard Parish, ...",2024-01-30 03:17:53.657032
/watch?v=CrDi0AXASMc&pp=ygUJd2lsZGZpcmVz,/@ABCNewsIndepth,ABC News In-depth,Canada On Fire: Fighting the Largest Canadian Wildfire in Recorded History | Foreign Correspondent,679K,5 months,"Canada is in the grip of one of the worst forest fires in recorded history. In recent days, tens of thousands of people in British ...",2024-01-30 03:17:53.663958
/watch?v=19rQlFBAa9E&pp=ygUJd2lsZGZpcmVz,/@NBCNews,NBC News,Thousands forced to evacuate as crews battle raging Canadian wildfires,47K,5 months,NBC News' Emilie Ikeda reports on the thousands of people who have been forced to evacuate as wildfires scorch parts of ...,2024-01-30 03:17:53.671729
